@relation 1merLabeled

@attribute A real 
@attribute R real
@attribute N real
@attribute D real
@attribute C real
@attribute E real
@attribute Q real
@attribute G real
@attribute H real
@attribute I real
@attribute L real
@attribute K real
@attribute M real
@attribute F real
@attribute P real
@attribute S real
@attribute T real
@attribute W real
@attribute Y real
@attribute V real
@attribute errorPercent real

@data
0.045,0.045,0.045,0.045,0.000,0.227,0.045,0.000,0.000,0.136,0.045,0.000,0.000,0.045,0.045,0.091,0.045,0.000,0.045,0.091,0.0496768485980389
0.056,0.000,0.111,0.056,0.056,0.167,0.056,0.000,0.111,0.000,0.167,0.056,0.000,0.056,0.000,0.000,0.056,0.000,0.000,0.056,0.0740098858851529
0.091,0.030,0.030,0.091,0.030,0.030,0.000,0.152,0.030,0.091,0.000,0.000,0.000,0.061,0.121,0.091,0.030,0.000,0.091,0.030,0.0541798847236495
0.000,0.000,0.050,0.100,0.000,0.100,0.000,0.200,0.000,0.000,0.050,0.050,0.000,0.050,0.000,0.250,0.050,0.000,0.050,0.050,0.0930709653625104
0.067,0.067,0.067,0.067,0.000,0.000,0.200,0.000,0.000,0.133,0.067,0.000,0.000,0.000,0.133,0.000,0.067,0.000,0.067,0.067,0.0815191782112903
0.071,0.071,0.071,0.071,0.000,0.071,0.000,0.071,0.000,0.000,0.071,0.000,0.000,0.143,0.000,0.000,0.000,0.000,0.214,0.143,0.0576782915640497
0.000,0.048,0.048,0.143,0.000,0.095,0.000,0.000,0.048,0.048,0.095,0.048,0.000,0.048,0.048,0.000,0.143,0.000,0.095,0.095,0.057921651733392
0.059,0.059,0.000,0.118,0.059,0.000,0.059,0.118,0.000,0.000,0.176,0.000,0.059,0.000,0.118,0.000,0.059,0.000,0.059,0.059,0.0579993764539416
0.000,0.000,0.077,0.077,0.077,0.077,0.000,0.077,0.077,0.077,0.077,0.077,0.000,0.000,0.000,0.077,0.077,0.000,0.000,0.154,0.11676741536144
0.154,0.000,0.077,0.000,0.000,0.154,0.000,0.000,0.000,0.077,0.000,0.154,0.000,0.000,0.077,0.077,0.154,0.000,0.000,0.077,0.156919802198658
0.000,0.000,0.059,0.059,0.118,0.000,0.000,0.059,0.118,0.059,0.118,0.059,0.000,0.000,0.118,0.118,0.000,0.000,0.059,0.059,0.0985592798845468
0.091,0.091,0.091,0.000,0.000,0.091,0.091,0.000,0.091,0.000,0.000,0.000,0.000,0.000,0.091,0.182,0.091,0.000,0.000,0.091,0.370202496600556
0.000,0.167,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.667,0.000,0.000,0.000,0.000,0.167,0.000,0.000,0.000,0.000,0.000,0.0787466206312498
0.040,0.040,0.080,0.040,0.000,0.000,0.080,0.160,0.040,0.080,0.120,0.000,0.000,0.040,0.000,0.040,0.120,0.040,0.040,0.040,0.0537792767138892
0.100,0.000,0.000,0.100,0.000,0.000,0.000,0.100,0.000,0.100,0.400,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.100,0.000,0.0571340727952131
0.167,0.056,0.000,0.056,0.000,0.333,0.222,0.000,0.000,0.000,0.111,0.000,0.000,0.000,0.000,0.000,0.056,0.000,0.000,0.000,0.0783364692142995
0.000,0.100,0.100,0.100,0.000,0.000,0.200,0.000,0.000,0.000,0.100,0.000,0.100,0.000,0.100,0.000,0.100,0.000,0.000,0.100,0.147534630102821
0.077,0.000,0.000,0.000,0.000,0.000,0.077,0.000,0.000,0.077,0.077,0.077,0.000,0.000,0.154,0.154,0.077,0.000,0.077,0.154,0.0834376447969903
0.071,0.071,0.143,0.000,0.071,0.214,0.000,0.000,0.000,0.071,0.214,0.000,0.000,0.071,0.000,0.000,0.000,0.000,0.071,0.000,0.0489137926840146
0.105,0.000,0.053,0.000,0.053,0.053,0.000,0.105,0.000,0.000,0.105,0.053,0.000,0.053,0.053,0.053,0.105,0.000,0.000,0.211,0.0567878448304275
0.000,0.000,0.000,0.000,0.000,0.167,0.167,0.083,0.083,0.167,0.083,0.083,0.000,0.000,0.000,0.000,0.083,0.000,0.083,0.000,0.120564540311457
0.030,0.030,0.030,0.091,0.061,0.061,0.091,0.091,0.030,0.000,0.333,0.000,0.000,0.000,0.061,0.030,0.061,0.000,0.000,0.000,0.0468570672704707
0.000,0.000,0.176,0.176,0.000,0.118,0.000,0.059,0.000,0.000,0.059,0.059,0.000,0.000,0.176,0.000,0.118,0.000,0.000,0.059,0.127940154796986
0.000,0.100,0.000,0.100,0.000,0.100,0.100,0.200,0.000,0.000,0.300,0.000,0.000,0.000,0.000,0.100,0.000,0.000,0.000,0.000,0.0843214018082878
0.143,0.000,0.000,0.000,0.000,0.071,0.071,0.071,0.000,0.000,0.143,0.071,0.000,0.000,0.286,0.143,0.000,0.000,0.000,0.000,0.0924821277577062
0.111,0.111,0.111,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.111,0.000,0.000,0.000,0.000,0.111,0.111,0.000,0.111,0.222,0.111418143416921
0.100,0.000,0.000,0.200,0.000,0.100,0.000,0.000,0.000,0.000,0.100,0.100,0.000,0.100,0.100,0.000,0.000,0.100,0.000,0.100,0.0644468140971712
0.125,0.000,0.062,0.062,0.062,0.000,0.000,0.062,0.000,0.062,0.125,0.062,0.000,0.125,0.000,0.125,0.062,0.000,0.062,0.000,0.0521396054628225
0.000,0.091,0.000,0.273,0.000,0.000,0.000,0.091,0.000,0.091,0.000,0.000,0.000,0.091,0.000,0.182,0.182,0.000,0.000,0.000,0.106727405118369
0.125,0.125,0.250,0.250,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.125,0.000,0.000,0.0966120640434891
0.111,0.056,0.111,0.056,0.056,0.056,0.111,0.000,0.000,0.000,0.167,0.000,0.000,0.056,0.000,0.000,0.056,0.000,0.000,0.167,0.0466813566040597
0.087,0.043,0.087,0.043,0.000,0.000,0.087,0.087,0.000,0.087,0.130,0.000,0.000,0.043,0.043,0.130,0.000,0.000,0.000,0.130,0.0485610128139249
0.083,0.000,0.000,0.000,0.000,0.250,0.083,0.083,0.000,0.083,0.000,0.083,0.000,0.000,0.000,0.000,0.167,0.000,0.000,0.167,0.109111252615301
0.083,0.083,0.000,0.000,0.000,0.000,0.167,0.000,0.000,0.000,0.167,0.000,0.000,0.000,0.083,0.083,0.167,0.000,0.000,0.167,0.0738615019860209
0.000,0.091,0.182,0.000,0.000,0.000,0.000,0.000,0.091,0.000,0.091,0.000,0.091,0.000,0.091,0.000,0.091,0.000,0.182,0.091,0.110920863974839
0.167,0.000,0.000,0.000,0.000,0.083,0.167,0.000,0.000,0.000,0.333,0.083,0.000,0.000,0.000,0.083,0.000,0.083,0.000,0.000,0.0573063026896829
0.091,0.000,0.000,0.000,0.000,0.091,0.000,0.091,0.000,0.000,0.182,0.091,0.000,0.000,0.000,0.091,0.091,0.000,0.000,0.273,0.075844406126382
0.026,0.000,0.026,0.051,0.026,0.077,0.026,0.077,0.051,0.077,0.128,0.051,0.000,0.026,0.103,0.077,0.077,0.026,0.000,0.077,0.054362153759443
0.083,0.000,0.000,0.083,0.000,0.000,0.083,0.000,0.000,0.083,0.167,0.083,0.000,0.083,0.083,0.083,0.167,0.000,0.000,0.000,0.064739396040033
0.111,0.111,0.000,0.111,0.000,0.000,0.000,0.000,0.111,0.000,0.111,0.000,0.000,0.111,0.111,0.000,0.000,0.111,0.111,0.000,0.0747202991813786
0.000,0.000,0.062,0.062,0.000,0.125,0.000,0.125,0.000,0.000,0.062,0.062,0.000,0.125,0.062,0.000,0.062,0.000,0.062,0.188,0.0602827932137703
0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.250,0.000,0.000,0.250,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.0936081472015554
0.143,0.071,0.000,0.071,0.000,0.000,0.143,0.000,0.071,0.143,0.214,0.000,0.000,0.071,0.000,0.000,0.000,0.000,0.071,0.000,0.0554427757157391
0.071,0.071,0.071,0.000,0.000,0.143,0.000,0.000,0.000,0.071,0.071,0.071,0.000,0.071,0.071,0.000,0.071,0.000,0.071,0.143,0.0778968121845968
0.231,0.000,0.000,0.000,0.000,0.385,0.077,0.000,0.000,0.000,0.000,0.077,0.000,0.000,0.154,0.000,0.000,0.000,0.000,0.077,0.140775810885621
0.333,0.111,0.111,0.000,0.000,0.111,0.000,0.000,0.000,0.000,0.333,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0793474427981184
0.182,0.091,0.000,0.091,0.000,0.091,0.182,0.091,0.000,0.091,0.000,0.000,0.000,0.000,0.000,0.000,0.091,0.091,0.000,0.000,0.107695713859695
0.176,0.059,0.000,0.000,0.000,0.118,0.118,0.118,0.000,0.176,0.059,0.000,0.118,0.000,0.000,0.000,0.000,0.000,0.000,0.059,0.0520588517958708
0.000,0.000,0.000,0.091,0.000,0.000,0.091,0.000,0.091,0.273,0.182,0.091,0.000,0.000,0.000,0.182,0.000,0.000,0.000,0.000,0.0720640623204446
0.037,0.000,0.000,0.074,0.037,0.000,0.148,0.037,0.074,0.148,0.037,0.037,0.037,0.000,0.074,0.111,0.074,0.000,0.000,0.074,0.0636254886463163
0.067,0.000,0.067,0.067,0.000,0.000,0.000,0.000,0.000,0.067,0.200,0.067,0.000,0.000,0.067,0.067,0.133,0.000,0.133,0.067,0.0609148735989528
0.107,0.036,0.107,0.071,0.000,0.036,0.000,0.107,0.036,0.036,0.000,0.000,0.071,0.071,0.036,0.143,0.036,0.000,0.036,0.071,0.062362900565936
0.100,0.100,0.000,0.100,0.000,0.100,0.000,0.000,0.000,0.100,0.300,0.000,0.000,0.000,0.000,0.100,0.000,0.100,0.000,0.000,0.0560566828303753
0.000,0.000,0.077,0.077,0.077,0.231,0.077,0.000,0.000,0.000,0.154,0.077,0.000,0.000,0.000,0.077,0.077,0.000,0.000,0.077,0.0963993002688782
0.000,0.083,0.000,0.000,0.167,0.000,0.083,0.000,0.083,0.000,0.083,0.000,0.000,0.083,0.167,0.083,0.000,0.000,0.083,0.083,0.101870247311091
0.150,0.050,0.050,0.050,0.100,0.050,0.000,0.100,0.100,0.050,0.150,0.000,0.000,0.050,0.000,0.000,0.100,0.000,0.000,0.000,0.0809341010876519
0.000,0.056,0.111,0.167,0.056,0.000,0.000,0.000,0.056,0.056,0.222,0.000,0.000,0.000,0.000,0.167,0.000,0.000,0.000,0.111,0.061453438176921
0.000,0.077,0.077,0.077,0.000,0.000,0.154,0.077,0.000,0.000,0.231,0.000,0.000,0.000,0.000,0.000,0.154,0.000,0.077,0.077,0.0795284230810406
0.267,0.067,0.067,0.000,0.000,0.133,0.067,0.000,0.000,0.000,0.200,0.000,0.000,0.067,0.067,0.000,0.000,0.000,0.000,0.067,0.0591070219460707
0.182,0.000,0.000,0.182,0.000,0.091,0.000,0.000,0.000,0.000,0.000,0.091,0.091,0.000,0.000,0.182,0.091,0.000,0.000,0.091,0.172292005684614
0.000,0.111,0.000,0.111,0.000,0.000,0.000,0.222,0.000,0.000,0.111,0.000,0.000,0.000,0.111,0.000,0.111,0.000,0.000,0.222,0.107358860936977
0.036,0.071,0.036,0.036,0.036,0.036,0.036,0.000,0.000,0.036,0.143,0.000,0.000,0.107,0.107,0.143,0.036,0.000,0.036,0.107,0.0478494948883915
0.111,0.000,0.167,0.056,0.000,0.056,0.056,0.056,0.000,0.056,0.167,0.056,0.056,0.000,0.056,0.000,0.000,0.000,0.000,0.111,0.0567100788689551
0.000,0.071,0.071,0.143,0.071,0.000,0.071,0.143,0.000,0.071,0.000,0.000,0.000,0.071,0.000,0.000,0.071,0.071,0.000,0.143,0.0620972558388079
0.000,0.059,0.000,0.118,0.000,0.000,0.000,0.118,0.118,0.059,0.118,0.000,0.000,0.176,0.059,0.118,0.000,0.059,0.000,0.000,0.0565544233109801
0.000,0.000,0.000,0.077,0.000,0.154,0.000,0.000,0.000,0.077,0.308,0.077,0.000,0.000,0.077,0.077,0.077,0.000,0.000,0.077,0.0522803703671012
0.154,0.000,0.077,0.000,0.000,0.231,0.000,0.077,0.000,0.000,0.077,0.077,0.000,0.000,0.154,0.077,0.077,0.000,0.000,0.000,0.141311259115576
0.000,0.083,0.000,0.083,0.000,0.000,0.083,0.083,0.167,0.000,0.083,0.000,0.000,0.000,0.000,0.167,0.167,0.000,0.083,0.000,0.302978294565712
0.000,0.071,0.071,0.000,0.000,0.071,0.143,0.143,0.000,0.071,0.143,0.000,0.071,0.071,0.000,0.071,0.071,0.000,0.000,0.000,0.0706724113238172
0.000,0.111,0.111,0.111,0.000,0.000,0.111,0.111,0.000,0.000,0.222,0.000,0.000,0.222,0.000,0.000,0.000,0.000,0.000,0.000,0.0714894028255104
0.048,0.048,0.048,0.048,0.000,0.143,0.095,0.143,0.000,0.095,0.095,0.000,0.000,0.048,0.048,0.000,0.095,0.000,0.000,0.048,0.054873297963121
0.000,0.000,0.111,0.000,0.000,0.000,0.000,0.111,0.000,0.111,0.111,0.111,0.000,0.000,0.000,0.111,0.222,0.000,0.000,0.111,0.124792545239118
0.000,0.000,0.000,0.100,0.000,0.000,0.000,0.100,0.000,0.000,0.200,0.100,0.100,0.000,0.200,0.100,0.000,0.000,0.000,0.100,0.0893021640314712
0.000,0.000,0.000,0.000,0.091,0.000,0.000,0.182,0.000,0.091,0.000,0.091,0.000,0.000,0.091,0.182,0.091,0.000,0.091,0.091,0.121353076386323
0.143,0.071,0.214,0.000,0.000,0.143,0.071,0.000,0.000,0.000,0.000,0.000,0.000,0.071,0.071,0.071,0.000,0.071,0.000,0.071,0.08773374888691
0.235,0.059,0.118,0.000,0.059,0.059,0.000,0.059,0.000,0.059,0.176,0.000,0.000,0.000,0.059,0.059,0.000,0.000,0.000,0.059,0.0619282158763426
0.125,0.062,0.000,0.000,0.000,0.188,0.312,0.062,0.000,0.000,0.062,0.000,0.062,0.062,0.000,0.000,0.062,0.000,0.000,0.000,0.0760073318969676
0.071,0.071,0.071,0.000,0.000,0.071,0.000,0.071,0.000,0.214,0.143,0.000,0.000,0.000,0.000,0.071,0.071,0.000,0.143,0.000,0.0564718142878996
0.062,0.062,0.062,0.000,0.125,0.062,0.000,0.062,0.000,0.000,0.125,0.000,0.000,0.125,0.062,0.000,0.125,0.000,0.125,0.000,0.0532492603016525
0.000,0.091,0.000,0.091,0.091,0.182,0.000,0.091,0.000,0.182,0.000,0.000,0.000,0.000,0.091,0.091,0.000,0.000,0.091,0.000,0.0897651325643812
0.048,0.000,0.000,0.095,0.000,0.095,0.000,0.000,0.048,0.095,0.048,0.048,0.048,0.143,0.048,0.143,0.048,0.000,0.048,0.048,0.0461096001750602
0.083,0.000,0.000,0.167,0.000,0.083,0.000,0.000,0.083,0.000,0.083,0.083,0.000,0.083,0.000,0.000,0.083,0.000,0.167,0.083,0.087433476140356
0.000,0.000,0.150,0.050,0.050,0.150,0.000,0.100,0.000,0.050,0.000,0.050,0.000,0.050,0.050,0.050,0.150,0.000,0.000,0.100,0.0806775021385799
0.167,0.056,0.167,0.000,0.000,0.056,0.167,0.056,0.000,0.056,0.056,0.000,0.000,0.000,0.000,0.111,0.056,0.000,0.000,0.056,0.098037584540259
0.091,0.000,0.273,0.000,0.091,0.000,0.091,0.000,0.000,0.091,0.000,0.091,0.000,0.091,0.091,0.000,0.000,0.000,0.000,0.091,0.101116263094625
0.222,0.000,0.000,0.000,0.000,0.000,0.111,0.111,0.000,0.111,0.222,0.111,0.000,0.111,0.000,0.000,0.000,0.000,0.000,0.000,0.0736929086538461
0.080,0.040,0.000,0.000,0.160,0.040,0.000,0.160,0.040,0.160,0.000,0.000,0.040,0.000,0.080,0.040,0.040,0.000,0.040,0.080,0.0659787226886989
0.133,0.067,0.133,0.067,0.000,0.133,0.000,0.067,0.000,0.067,0.067,0.000,0.133,0.000,0.000,0.000,0.067,0.000,0.000,0.067,0.0639785180031309
0.000,0.091,0.091,0.000,0.000,0.182,0.000,0.091,0.000,0.091,0.000,0.000,0.000,0.273,0.000,0.000,0.000,0.000,0.182,0.000,0.0543803991934737
0.071,0.000,0.143,0.071,0.000,0.071,0.071,0.071,0.000,0.071,0.000,0.071,0.000,0.071,0.000,0.071,0.071,0.000,0.143,0.000,0.0958702907361017
0.133,0.067,0.000,0.000,0.000,0.000,0.067,0.133,0.000,0.067,0.133,0.000,0.000,0.000,0.000,0.200,0.000,0.000,0.067,0.133,0.0667925687436717
0.091,0.000,0.091,0.182,0.000,0.000,0.000,0.091,0.000,0.091,0.000,0.091,0.000,0.000,0.091,0.000,0.000,0.000,0.182,0.091,0.0944835633525128
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.333,0.111,0.000,0.111,0.111,0.111,0.222,0.000,0.000,0.000,0.0635857877259603
0.067,0.067,0.067,0.133,0.000,0.000,0.000,0.200,0.000,0.067,0.067,0.000,0.000,0.067,0.067,0.000,0.000,0.000,0.067,0.133,0.0573458488270389
0.105,0.000,0.105,0.000,0.000,0.105,0.000,0.105,0.053,0.000,0.105,0.053,0.000,0.105,0.000,0.053,0.158,0.000,0.000,0.053,0.0722606703938134
0.000,0.062,0.000,0.125,0.062,0.312,0.000,0.000,0.000,0.000,0.000,0.062,0.000,0.000,0.250,0.000,0.000,0.000,0.062,0.062,0.110553204324589
0.286,0.071,0.000,0.000,0.071,0.000,0.000,0.214,0.000,0.000,0.143,0.000,0.000,0.143,0.071,0.000,0.000,0.000,0.000,0.000,0.0593050653776534
0.000,0.053,0.053,0.211,0.000,0.000,0.000,0.053,0.000,0.105,0.053,0.053,0.000,0.000,0.105,0.105,0.053,0.000,0.053,0.105,0.0840003726343096
0.000,0.000,0.077,0.000,0.000,0.231,0.000,0.077,0.000,0.000,0.154,0.077,0.077,0.000,0.000,0.154,0.154,0.000,0.000,0.000,0.105896603780407
0.083,0.021,0.042,0.062,0.042,0.083,0.021,0.000,0.042,0.083,0.062,0.000,0.021,0.042,0.062,0.083,0.104,0.000,0.062,0.083,0.0492031947834783
0.000,0.067,0.000,0.067,0.000,0.067,0.133,0.000,0.000,0.000,0.200,0.000,0.000,0.000,0.133,0.000,0.267,0.000,0.000,0.067,0.0756625073504228
0.455,0.091,0.000,0.000,0.000,0.091,0.091,0.000,0.091,0.000,0.000,0.000,0.000,0.000,0.000,0.091,0.091,0.000,0.000,0.000,0.473621564285165
0.000,0.062,0.188,0.062,0.000,0.188,0.000,0.000,0.000,0.125,0.062,0.000,0.062,0.062,0.062,0.000,0.000,0.000,0.062,0.062,0.0456332797603258
0.227,0.000,0.000,0.045,0.045,0.091,0.045,0.136,0.000,0.045,0.045,0.045,0.000,0.000,0.000,0.091,0.000,0.000,0.045,0.136,0.0650448556443584
0.000,0.000,0.111,0.222,0.000,0.000,0.000,0.000,0.000,0.000,0.111,0.111,0.000,0.222,0.000,0.000,0.111,0.000,0.000,0.111,0.0699235892714075
0.095,0.000,0.000,0.048,0.000,0.143,0.000,0.143,0.000,0.000,0.000,0.048,0.048,0.048,0.000,0.048,0.143,0.048,0.048,0.143,0.0531915861905759
0.000,0.000,0.222,0.000,0.000,0.000,0.000,0.000,0.111,0.000,0.111,0.111,0.111,0.000,0.111,0.111,0.000,0.000,0.111,0.000,0.153975675490367
0.143,0.000,0.000,0.071,0.000,0.143,0.000,0.000,0.000,0.071,0.071,0.071,0.000,0.000,0.143,0.000,0.000,0.000,0.000,0.286,0.0555957675787388
0.143,0.071,0.000,0.000,0.071,0.000,0.000,0.071,0.000,0.000,0.286,0.000,0.000,0.000,0.071,0.071,0.071,0.071,0.000,0.071,0.0524579850813336
0.000,0.000,0.100,0.000,0.000,0.000,0.100,0.000,0.000,0.000,0.600,0.100,0.000,0.000,0.100,0.000,0.000,0.000,0.000,0.000,0.0571087473456566
0.062,0.000,0.062,0.125,0.000,0.062,0.000,0.062,0.062,0.000,0.062,0.062,0.000,0.250,0.062,0.125,0.000,0.000,0.000,0.000,0.061531161024992
0.062,0.000,0.000,0.125,0.000,0.188,0.000,0.125,0.000,0.062,0.062,0.062,0.000,0.000,0.125,0.062,0.000,0.000,0.000,0.125,0.0743191603189566
0.000,0.000,0.000,0.125,0.125,0.125,0.000,0.125,0.000,0.000,0.250,0.125,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.099909227923546
0.133,0.067,0.000,0.000,0.000,0.067,0.067,0.200,0.000,0.133,0.000,0.000,0.000,0.000,0.000,0.133,0.067,0.000,0.000,0.133,0.0894525317911982
0.000,0.053,0.000,0.000,0.105,0.158,0.053,0.053,0.158,0.053,0.000,0.000,0.000,0.053,0.053,0.053,0.105,0.053,0.000,0.053,0.115224547494538
0.316,0.000,0.000,0.105,0.000,0.053,0.000,0.105,0.000,0.053,0.158,0.053,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.158,0.0460506553256074
0.083,0.000,0.000,0.083,0.000,0.000,0.000,0.083,0.000,0.250,0.000,0.083,0.083,0.167,0.000,0.167,0.000,0.000,0.000,0.000,0.0531748314319496
0.154,0.000,0.000,0.000,0.000,0.077,0.154,0.000,0.000,0.000,0.077,0.077,0.000,0.000,0.000,0.077,0.231,0.000,0.000,0.154,0.116390460388221
0.000,0.000,0.091,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.091,0.000,0.091,0.000,0.182,0.182,0.091,0.000,0.273,0.0715840342334366
0.222,0.111,0.000,0.111,0.000,0.222,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.111,0.111,0.111,0.0888159902349711
0.059,0.000,0.118,0.000,0.000,0.059,0.000,0.235,0.000,0.176,0.000,0.059,0.000,0.000,0.176,0.000,0.059,0.000,0.000,0.059,0.0760455528477064
0.000,0.100,0.000,0.000,0.000,0.200,0.100,0.000,0.000,0.000,0.300,0.000,0.000,0.000,0.000,0.100,0.100,0.100,0.000,0.000,0.0617573666047253
0.000,0.000,0.000,0.000,0.000,0.333,0.000,0.000,0.000,0.111,0.111,0.111,0.222,0.000,0.000,0.111,0.000,0.000,0.000,0.000,0.0948875923130279
0.118,0.059,0.000,0.235,0.000,0.118,0.059,0.059,0.000,0.118,0.059,0.000,0.000,0.000,0.000,0.059,0.000,0.000,0.059,0.059,0.0663682199978301
0.077,0.000,0.077,0.000,0.077,0.231,0.000,0.000,0.000,0.077,0.231,0.077,0.000,0.000,0.000,0.077,0.000,0.000,0.000,0.077,0.054197989143614
0.133,0.000,0.000,0.067,0.000,0.067,0.133,0.000,0.000,0.000,0.133,0.067,0.000,0.067,0.067,0.000,0.133,0.000,0.000,0.133,0.0590122980369856
0.286,0.048,0.000,0.048,0.000,0.143,0.000,0.048,0.000,0.048,0.190,0.000,0.000,0.000,0.000,0.095,0.048,0.000,0.000,0.048,0.0492233137202574
0.000,0.000,0.077,0.000,0.000,0.077,0.000,0.077,0.000,0.077,0.308,0.077,0.000,0.077,0.000,0.077,0.077,0.000,0.077,0.000,0.0487670611174611
0.267,0.067,0.000,0.000,0.000,0.133,0.067,0.200,0.067,0.000,0.000,0.000,0.000,0.000,0.000,0.200,0.000,0.000,0.000,0.000,0.425572967103912
0.000,0.000,0.100,0.100,0.000,0.000,0.000,0.200,0.000,0.000,0.200,0.100,0.000,0.000,0.100,0.100,0.100,0.000,0.000,0.000,0.137161774703674
0.105,0.026,0.053,0.026,0.000,0.132,0.026,0.079,0.000,0.079,0.132,0.053,0.026,0.026,0.053,0.079,0.026,0.000,0.000,0.079,0.050008840055369
0.000,0.000,0.000,0.000,0.000,0.100,0.000,0.200,0.000,0.200,0.000,0.100,0.000,0.100,0.000,0.100,0.200,0.000,0.000,0.000,0.0932188399504719
0.125,0.000,0.000,0.000,0.000,0.000,0.062,0.188,0.062,0.000,0.062,0.062,0.000,0.000,0.062,0.250,0.125,0.000,0.000,0.000,0.27256505261574
0.000,0.067,0.067,0.067,0.000,0.067,0.133,0.067,0.067,0.067,0.000,0.000,0.067,0.000,0.133,0.067,0.000,0.000,0.000,0.133,0.121515391348558
0.000,0.000,0.143,0.071,0.071,0.000,0.000,0.143,0.000,0.000,0.071,0.071,0.000,0.000,0.071,0.143,0.000,0.000,0.000,0.214,0.0931541659630245
0.125,0.042,0.083,0.083,0.000,0.042,0.000,0.125,0.000,0.125,0.000,0.000,0.000,0.042,0.000,0.125,0.042,0.000,0.042,0.125,0.0521431369635403
0.083,0.083,0.000,0.083,0.000,0.250,0.083,0.000,0.000,0.000,0.167,0.000,0.000,0.083,0.083,0.000,0.000,0.083,0.000,0.000,0.0578492990537474
0.000,0.083,0.083,0.167,0.000,0.083,0.000,0.000,0.000,0.083,0.333,0.000,0.000,0.000,0.083,0.000,0.083,0.000,0.000,0.000,0.054534836075225
0.000,0.080,0.000,0.200,0.000,0.160,0.040,0.040,0.000,0.040,0.120,0.000,0.000,0.080,0.080,0.040,0.040,0.000,0.040,0.040,0.0483480962702181
0.100,0.000,0.000,0.100,0.100,0.100,0.100,0.000,0.000,0.000,0.100,0.100,0.100,0.100,0.000,0.100,0.000,0.000,0.000,0.000,0.0965475813045437
0.091,0.000,0.091,0.000,0.000,0.091,0.000,0.000,0.091,0.000,0.182,0.091,0.000,0.000,0.000,0.091,0.182,0.091,0.000,0.000,0.0904058607829493
0.143,0.048,0.048,0.143,0.000,0.000,0.000,0.238,0.000,0.000,0.000,0.000,0.000,0.048,0.000,0.048,0.095,0.000,0.000,0.190,0.0708324652884156
0.000,0.000,0.250,0.125,0.000,0.000,0.000,0.062,0.000,0.125,0.125,0.062,0.000,0.000,0.062,0.062,0.062,0.000,0.000,0.062,0.0625920551031017
0.211,0.000,0.105,0.105,0.000,0.158,0.053,0.000,0.000,0.000,0.105,0.053,0.000,0.053,0.053,0.000,0.053,0.000,0.000,0.053,0.0601912619538722
0.062,0.062,0.062,0.000,0.000,0.188,0.000,0.062,0.000,0.062,0.062,0.000,0.000,0.062,0.000,0.188,0.000,0.062,0.062,0.062,0.0530681228443228
0.071,0.071,0.071,0.143,0.000,0.000,0.071,0.071,0.071,0.000,0.071,0.071,0.000,0.000,0.071,0.000,0.071,0.000,0.071,0.071,0.180794656383418
0.000,0.000,0.091,0.091,0.000,0.000,0.091,0.000,0.000,0.091,0.091,0.091,0.182,0.000,0.091,0.000,0.182,0.000,0.000,0.000,0.0891900239363755
0.000,0.000,0.091,0.000,0.000,0.000,0.091,0.091,0.000,0.091,0.273,0.091,0.000,0.000,0.091,0.000,0.182,0.000,0.000,0.000,0.085332406798205
0.000,0.000,0.000,0.200,0.000,0.100,0.000,0.000,0.000,0.000,0.200,0.100,0.100,0.000,0.000,0.000,0.200,0.000,0.000,0.100,0.088783932431289
0.143,0.071,0.000,0.000,0.000,0.143,0.143,0.071,0.000,0.071,0.071,0.000,0.000,0.000,0.000,0.000,0.071,0.000,0.000,0.214,0.0746220400139673
0.059,0.059,0.059,0.059,0.000,0.118,0.118,0.118,0.000,0.118,0.000,0.000,0.000,0.000,0.118,0.059,0.000,0.000,0.059,0.059,0.0843270495396757
0.161,0.032,0.129,0.065,0.032,0.065,0.032,0.065,0.032,0.097,0.097,0.000,0.032,0.000,0.000,0.032,0.097,0.000,0.000,0.032,0.0518042799721555
0.000,0.083,0.000,0.000,0.083,0.083,0.083,0.000,0.000,0.167,0.083,0.000,0.000,0.083,0.167,0.000,0.083,0.000,0.000,0.083,0.0617386370934939
0.000,0.000,0.071,0.143,0.000,0.000,0.071,0.071,0.071,0.071,0.000,0.143,0.000,0.071,0.143,0.000,0.000,0.071,0.000,0.071,0.0919102412902815
0.222,0.000,0.000,0.000,0.000,0.056,0.056,0.222,0.056,0.056,0.056,0.056,0.000,0.000,0.056,0.167,0.000,0.000,0.000,0.000,0.152696045975794
